Sample	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length
CTLrep1_R1	18.181818181818183	100	48.0	98530438.0	74.56862878467834	100.0
CTLrep1_R2	9.090909090909092	100	49.0	98530438.0	74.00432869616708	100.0
CTLrep2_R1	18.181818181818183	100	48.0	84462018.0	73.74317474153621	100.0
CTLrep2_R2	9.090909090909092	100	49.0	84462018.0	73.55196938246408	100.0
CTLrep3_R1	18.181818181818183	100	48.0	118938906.0	76.12217441255187	100.0
CTLrep3_R2	9.090909090909092	100	49.0	118938906.0	75.4585124490693	100.0
KOrep1_R1	18.181818181818183	100	48.0	106283105.0	75.96402354113113	100.0
KOrep1_R2	9.090909090909092	100	48.0	106283105.0	74.75209333956718	100.0
KOrep2_R1	18.181818181818183	100	48.0	106182953.0	75.6597595466212	100.0
KOrep2_R2	9.090909090909092	100	49.0	106182953.0	74.86580910649081	100.0
KOrep3_R1	18.181818181818183	100	49.0	106889224.0	76.1869587247084	100.0
KOrep3_R2	9.090909090909092	100	50.0	106889224.0	75.12337534520915	100.0
